"Order ID","Order Date","Ship Date","Ship Mode",Region,"Postal Code","Customer ID",Sales,Quantity,Discount,Profit
CA-2016-152156,11/8/2016,11/11/2016,"Second Class",South,42420,CG-12520,993.9,5,0,261.5
CA-2016-138688,6/12/2016,6/16/2016,"Second Class",West,90036,DV-13045,14.62,2,0,6.87
US-2015-108966,10/11/2015,10/18/2015,"Standard Class",South,33311,SO-20335,979.95,7,0.65,-380.51
CA-2014-115812,6/9/2014,6/14/2014,"Standard Class",West,90032,BH-11710,3714.3,38,0.8,300.77
CA-2017-114412,4/15/2017,4/20/2017,"Standard Class",South,28027,AA-10480,15.55,3,0.2,5.44
CA-2016-161389,12/5/2016,12/10/2016,"Standard Class",West,98103,IM-15070,407.98,3,0.2,132.59
US-2015-118983,11/22/2015,11/26/2015,"Standard Class",Central,76106,HP-14815,71.35,8,1.6,-127.67
CA-2014-105893,11/11/2014,11/18/2014,"Standard Class",Central,53711,PK-19075,665.88,6,0,13.32
CA-2014-167164,5/13/2014,5/15/2014,"Second Class",West,84084,AG-10270,55.5,2,0,9.99
CA-2014-143336,8/27/2014,9/1/2014,"Second Class",West,94109,ZD-21925,244.76,9,0.4,25.88
CA-2016-137330,12/9/2016,12/13/2016,"Standard Class",Central,68025,KB-16585,79.8,14,0,20.75
US-2017-156909,7/16/2017,7/18/2017,"Second Class",East,19140,SF-20065,71.37,2,0.3,-1.02
CA-2015-106320,9/25/2015,9/30/2015,"Standard Class",West,84057,EB-13870,1044.63,3,0,240.26
CA-2016-121755,1/16/2016,1/20/2016,"Second Class",West,90049,EH-13945,102.22,5,0.2,16
US-2015-150630,9/17/2015,9/21/2015,"Standard Class",East,19140,TB-21520,3322.58,22,2,-1642.22
CA-2017-107727,10/19/2017,10/23/2017,"Second Class",Central,77095,MA-17560,29.47,3,0.2,9.95
CA-2016-117590,12/8/2016,12/10/2016,"First Class",Central,75080,GH-14485,1288.46,12,0.8,-24.49
CA-2015-117415,12/27/2015,12/31/2015,"Standard Class",Central,77041,SN-20710,1228.95,19,1.02,15.05
CA-2017-120999,9/10/2017,9/15/2017,"Standard Class",Central,60540,LC-16930,147.17,4,0.2,16.56
CA-2016-101343,7/17/2016,7/22/2016,"Standard Class",West,90049,RA-19885,77.88,2,0,3.89
CA-2017-139619,9/19/2017,9/23/2017,"Standard Class",South,32935,ES-14080,95.62,2,0.2,9.56
CA-2016-118255,3/11/2016,3/13/2016,"First Class",Central,55122,ON-18715,63.44,4,0,27.98
CA-2014-146703,10/20/2014,10/25/2014,"Second Class",Central,48185,PO-18865,211.96,4,0,8.48
CA-2016-169194,6/20/2016,6/25/2016,"Standard Class",East,19901,LH-16900,66.8,5,0,11.05
CA-2015-115742,4/18/2015,4/22/2015,"Standard Class",Central,47150,DP-13000,209.55,15,0,73.35
CA-2016-105816,12/11/2016,12/17/2016,"Standard Class",East,10024,JM-15265,1045.21,12,0,304.94
CA-2016-111682,6/17/2016,6/18/2016,"First Class",East,12180,TB-21055,655.09,25,0.3,102.28
CA-2015-135545,11/24/2015,11/30/2015,"Standard Class",West,90004,KM-16720,266.29,15,0.2,106.81
US-2015-164175,4/30/2015,5/5/2015,"Standard Class",Central,60610,PS-18970,213.12,5,0.3,-15.22
CA-2014-106376,12/5/2014,12/10/2014,"Standard Class",West,85234,BS-11590,1280.99,12,0.4,174.29
CA-2016-119823,6/4/2016,6/6/2016,"First Class",South,22153,KD-16270,75.88,2,0,35.66
CA-2016-106075,9/18/2016,9/23/2016,"Standard Class",East,10009,HM-14980,4.62,1,0.2,1.73
CA-2017-114440,9/14/2017,9/17/2017,"Second Class",Central,49201,TB-21520,19.05,3,0,8.76
US-2015-134026,4/26/2015,5/2/2015,"Standard Class",South,38109,JE-15745,1001.76,11,0.6,-131.37
US-2017-118038,12/9/2017,12/11/2017,"First Class",Central,77041,KB-16600,28.49,6,1,0.79
US-2014-147606,11/26/2014,12/1/2014,"Second Class",Central,77070,JE-15745,19.3,5,0.6,-14.48
CA-2016-127208,6/12/2016,6/15/2016,"First Class",South,35601,SC-20770,224.9,4,0,64.24
CA-2014-139451,10/12/2014,10/16/2014,"Standard Class",West,94122,DN-13690,36.29,6,0,10.38
CA-2015-149734,9/3/2015,9/8/2015,"Standard Class",South,27707,JC-16105,200.98,7,0.2,62.81
US-2017-119662,11/13/2017,11/16/2017,"First Class",Central,60623,CS-12400,230.38,3,0.2,-48.95
CA-2017-140088,5/28/2017,5/30/2017,"Second Class",South,29203,PO-18865,301.96,2,0,33.22
CA-2017-155558,10/26/2017,11/2/2017,"Standard Class",Central,55901,PG-18895,26.15,3,0,9.75
CA-2016-159695,4/5/2016,4/10/2016,"Second Class",Central,77095,GM-14455,158.37,7,0.2,13.86
CA-2016-109806,9/17/2016,9/22/2016,"Standard Class",West,90036,JS-15685,100.16,6,0.2,18.02
CA-2015-149587,1/31/2015,2/5/2015,"Second Class",Central,55407,KB-16315,99.26,7,0,38.91
US-2017-109484,11/6/2017,11/12/2017,"Standard Class",West,97206,RB-19705,5.68,1,0.7,-3.79
CA-2017-161018,11/9/2017,11/11/2017,"Second Class",East,10009,PN-18775,96.53,7,0,40.54
CA-2017-157833,6/17/2017,6/20/2017,"First Class",West,94122,KD-16345,51.31,3,0.2,17.96
CA-2016-149223,9/6/2016,9/11/2016,"Standard Class",Central,55106,ER-13855,77.88,6,0,22.59
CA-2016-158568,8/29/2016,9/2/2016,"Standard Class",Central,60610,RB-19465,162.39,13,1.2,8.78
CA-2016-129903,12/1/2016,12/4/2016,"Second Class",Central,55901,GZ-14470,23.92,4,0,11.72
US-2015-156867,11/13/2015,11/17/2015,"Standard Class",West,80013,LC-16870,341.26,9,0.4,-30.71
CA-2017-119004,11/23/2017,11/28/2017,"Standard Class",South,28205,JM-15250,105.41,10,0.6,20.77
CA-2015-129476,10/15/2015,10/20/2015,"Standard Class",Central,60462,PA-19060,339.96,5,0.2,67.99
CA-2017-146780,12/25/2017,12/30/2017,"Standard Class",East,10035,CV-12805,41.96,2,0,10.91
CA-2016-128867,11/3/2016,11/10/2016,"Standard Class",Central,50322,CL-12565,103.2,8,0,36.14
CA-2014-115259,8/25/2014,8/27/2014,"Second Class",East,43229,RC-19960,199.26,25,0.8,67.71
CA-2015-110457,3/2/2015,3/6/2015,"Standard Class",West,98103,DK-13090,787.53,3,0,165.38
US-2015-136476,4/5/2015,4/10/2015,"Standard Class",South,37620,GG-14650,157.79,1,0.7,-115.72
CA-2016-103730,6/12/2016,6/15/2016,"First Class",East,19805,SC-20725,487.5,29,0,167.15
US-2014-152030,12/26/2014,12/28/2014,"Second Class",Central,77041,AD-10180,600.56,3,0.3,-8.58
US-2014-134614,9/20/2014,9/25/2014,"Standard Class",Central,61701,PF-19165,617.7,6,0.5,-407.68
US-2017-107272,11/5/2017,11/12/2017,"Standard Class",West,85023,TS-21610,246.38,9,0.9,28.67
US-2016-125969,11/6/2016,11/10/2016,"Second Class",West,90004,LS-16975,319.98,5,0.2,17.08
US-2017-164147,2/2/2017,2/5/2017,"First Class",East,43229,DW-13585,159.73,16,0.8,24.34
CA-2016-145583,10/13/2016,10/19/2016,"Standard Class",West,95661,LC-16885,256.2,33,0.2,97.51
CA-2016-110366,9/5/2016,9/7/2016,"Second Class",East,19140,JD-15895,82.8,2,0.2,10.35
CA-2017-106180,9/18/2017,9/23/2017,"Standard Class",West,94122,SH-19975,163.38,9,0,76.46
CA-2017-155376,12/22/2017,12/27/2017,"Standard Class",Central,64055,SG-20080,839.43,3,0,218.25
CA-2015-110744,9/7/2015,9/12/2015,"Standard Class",West,91104,HA-14920,671.93,7,0,20.16
CA-2014-110072,10/22/2014,10/28/2014,"Standard Class",East,43055,MG-17680,93.89,4,0.2,12.91
CA-2016-114489,12/5/2016,12/9/2016,"Standard Class",Central,53132,JE-16165,2657.81,27,0,775.98
CA-2016-158834,3/13/2016,3/16/2016,"First Class",West,85254,TW-21025,361.1,7,0.4,33
CA-2015-124919,5/31/2015,6/2/2015,"First Class",West,95123,SP-20650,244.78,17,0,95.84
CA-2015-118948,5/28/2015,6/3/2015,"Standard Class",West,98105,NK-18490,6.63,3,0,1.79
CA-2014-104269,3/1/2014,3/6/2014,"Second Class",West,98115,DB-13060,457.57,2,0.2,51.48
CA-2016-114104,11/20/2016,11/24/2016,"Standard Class",Central,73034,NP-18670,959.55,9,0,243.1
CA-2016-162733,5/11/2016,5/12/2016,"First Class",West,90045,TT-21070,5.98,1,0,2.69
CA-2015-119697,12/28/2015,12/31/2015,"Second Class",East,19134,EM-13960,54.38,2,0.2,1.36
CA-2016-154508,11/16/2016,11/20/2016,"Standard Class",West,88220,RD-19900,28.4,5,0,13.35
CA-2016-113817,11/7/2016,11/11/2016,"Standard Class",West,98115,MJ-17740,27.68,2,0.2,9.69
CA-2014-139892,9/8/2014,9/12/2014,"Standard Class",Central,78207,BM-11140,10539.9,37,2.3,-1878.79
CA-2014-118962,8/5/2014,8/9/2014,"Standard Class",West,90004,CS-12130,472.04,12,0.2,84.36
US-2014-100853,9/14/2014,9/19/2014,"Standard Class",Central,60623,JB-15400,72.61,6,1,-124.57
US-2017-152366,4/21/2017,4/25/2017,"Second Class",Central,77036,SJ-20500,97.26,4,0.8,-243.16
US-2015-101511,11/21/2015,11/23/2015,"Second Class",East,43055,JE-15745,412.68,12,0.5,-15.11
CA-2015-137225,12/15/2015,12/19/2015,"Standard Class",East,10009,JK-15640,3.28,1,0,1.41
CA-2014-166191,12/5/2014,12/9/2014,"Second Class",Central,62521,DK-13150,433.56,9,0.4,78.5
CA-2014-158274,11/19/2014,11/24/2014,"Second Class",South,71203,RM-19675,682.91,11,0,180.27
CA-2016-105018,11/28/2016,12/2/2016,"Standard Class",East,6824,SK-19990,7.16,2,0,3.44
CA-2014-123260,8/26/2014,8/30/2014,"Standard Class",West,90032,FM-14290,176.8,8,0,22.98
CA-2016-157000,7/16/2016,7/22/2016,"Standard Class",Central,75051,AM-10360,57.24,6,0.4,9.98
CA-2015-102281,10/12/2015,10/14/2015,"First Class",East,10035,MP-17470,1668.99,26,0.4,210.91
CA-2015-131457,10/31/2015,11/6/2015,"Standard Class",West,92374,MZ-17515,14.28,7,0,6.71
CA-2014-140004,3/21/2014,3/25/2014,"Standard Class",East,45011,CB-12025,13.46,5,0.4,2.79
CA-2017-107720,11/6/2017,11/13/2017,"Standard Class",East,7090,VM-21685,46.26,3,0,12.03
US-2017-124303,7/6/2017,7/13/2017,"Standard Class",East,19120,FH-14365,16.06,3,0.2,5.82
CA-2017-105074,6/24/2017,6/29/2017,"Standard Class",East,44312,MB-17305,21.74,3,0.2,6.8
CA-2014-133690,8/3/2014,8/5/2014,"First Class",West,80219,BS-11755,221.35,3,0.7,-161.58
US-2017-116701,12/17/2017,12/21/2017,"Second Class",Central,75220,LC-17140,66.28,2,0.8,-178.97
CA-2017-126382,6/3/2017,6/7/2017,"Standard Class",South,37064,HK-14890,35.17,7,0.2,9.67
CA-2017-108329,12/9/2017,12/14/2017,"Standard Class",West,90604,LE-16810,444.77,4,0.2,44.48
CA-2017-135860,12/1/2017,12/7/2017,"Standard Class",Central,48601,JH-15985,376.1,20,0,68.88
CA-2015-101007,2/9/2015,2/13/2015,"Second Class",Central,75220,MS-17980,20.8,2,0.2,6.5
CA-2015-146262,1/2/2015,1/9/2015,"Standard Class",East,44256,VW-21775,1816.7,21,2,-1196.06
CA-2016-130162,10/28/2016,11/1/2016,"Standard Class",West,90032,JH-15910,395.44,9,0.2,48.74
CA-2015-169397,12/24/2015,12/27/2015,"First Class",East,43017,JB-15925,627.92,22,2.2,-365.99
CA-2015-163055,8/9/2015,8/16/2015,"Standard Class",Central,48227,DS-13180,646.63,7,0,138.13
US-2015-145436,2/28/2015,3/4/2015,"Standard Class",South,38401,VD-21670,551.26,10,0.4,15.57
US-2014-156216,9/13/2014,9/17/2014,"Standard Class",South,28205,EA-14035,18.65,7,0.7,-12.43
US-2017-100930,4/7/2017,4/12/2017,"Standard Class",South,33614,CS-12400,1735.85,13,2,-361.57
CA-2017-160514,11/12/2017,11/16/2017,"Standard Class",West,95051,DB-13120,10.56,2,0,4.75
CA-2016-157749,6/4/2016,6/9/2016,"Second Class",Central,60610,KL-16645,677.95,25,2.9,-462.95
CA-2014-131926,6/1/2014,6/6/2014,"Second Class",Central,55044,DW-13480,3745.63,24,0,1154.67
CA-2016-154739,12/10/2016,12/15/2016,"Second Class",West,94109,LH-17155,321.57,2,0.2,28.14
CA-2016-145625,9/11/2016,9/17/2016,"Standard Class",West,92037,KC-16540,3354.98,14,0,639.58
CA-2016-146941,12/10/2016,12/13/2016,"First Class",East,10024,DL-13315,442.5,10,0,185.43
US-2015-159982,11/28/2015,12/4/2015,"Standard Class",Central,60623,DR-12880,713.96,20,1,52.24
CA-2017-163139,12/1/2017,12/3/2017,"Second Class",East,10009,CC-12670,259.44,11,0.2,19.7
US-2017-155299,6/8/2017,6/12/2017,"Standard Class",Central,77506,Dl-13600,1.62,2,0.8,-4.47
US-2014-106992,9/19/2014,9/21/2014,"Second Class",Central,77036,SB-20290,5579.94,10,0.8,-761.99
CA-2016-125318,6/6/2016,6/13/2016,"Standard Class",Central,60610,RC-19825,328.22,4,0.2,28.72
CA-2015-155040,11/10/2015,11/15/2015,"Standard Class",West,94513,AH-10210,79.9,2,0,35.16
CA-2017-136826,6/16/2017,6/20/2017,"Standard Class",South,27514,CB-12535,14.02,3,0.2,4.73
CA-2016-111010,1/22/2016,1/28/2016,"Standard Class",East,7960,PG-18895,7.56,6,0,0.3
US-2017-145366,12/9/2017,12/13/2017,"Standard Class",East,45231,CA-12310,94.78,4,0.4,14.15
CA-2017-163979,12/28/2017,1/2/2018,"Second Class",West,94110,KH-16690,725.84,4,0,210.49
CA-2015-155334,7/30/2015,7/31/2015,"First Class",West,94109,HA-14920,226.13,13,0.2,98.79
CA-2017-118136,9/16/2017,9/17/2017,"First Class",West,90301,BB-10990,5.98,1,0,1.55
CA-2017-132976,10/13/2017,10/17/2017,"Standard Class",East,19140,AG-10495,96.2,11,0.6,18.74
US-2015-161991,9/26/2015,9/28/2015,"Second Class",Central,77070,SC-20725,1116.48,12,1,372.68
CA-2015-130890,11/2/2015,11/6/2015,"Standard Class",West,90004,JO-15280,1038.84,5,0.2,51.94
CA-2015-130883,9/26/2015,10/2/2015,"Standard Class",West,97206,TB-21520,412.66,16,0.6,106.69
CA-2016-112697,12/18/2016,12/20/2016,"Second Class",South,33319,AH-10195,1410.07,14,1.1,-349.37
CA-2016-110772,11/20/2016,11/24/2016,"Second Class",East,43229,NZ-18565,380.55,20,1.1,18.62
CA-2014-111451,12/26/2014,12/28/2014,"First Class",West,80906,KL-16555,855.27,22,1.5,20.87
CA-2016-142545,10/28/2016,11/3/2016,"Standard Class",East,7109,JD-15895,181.19,13,0,87.46
US-2017-152380,11/19/2017,11/23/2017,"Standard Class",Central,60623,JH-15910,219.08,3,0.5,-131.44
CA-2015-144253,5/4/2015,5/9/2015,"Second Class",East,10024,AS-10225,26.8,2,0,12.86
CA-2014-130960,12/30/2014,1/4/2015,"Standard Class",Central,48180,KB-16600,9.84,3,0,2.85
CA-2014-111003,6/1/2014,6/6/2014,"Standard Class",East,8701,CR-12625,334.68,9,0,104.79
CA-2017-126774,4/15/2017,4/17/2017,"First Class",South,22204,SH-20395,4.89,1,0,2
CA-2016-142902,9/12/2016,9/14/2016,"Second Class",West,80004,BP-11185,503.4,10,0.8,59.86
CA-2014-120887,9/27/2014,10/3/2014,"Standard Class",East,7601,TS-21205,87.54,3,0,37.64
CA-2014-167850,8/9/2014,8/16/2014,"Standard Class",South,33710,AG-10525,193.94,5,0.4,27.74
CA-2014-164259,12/28/2014,12/30/2014,"First Class",East,19143,SP-20860,99.14,4,0.2,8.67
CA-2014-164973,11/4/2014,11/9/2014,"Standard Class",East,10024,NM-18445,4807.37,14,0.1,2242.84
CA-2014-156601,9/19/2014,9/24/2014,"Standard Class",West,90805,FA-14230,7.16,2,0,3.58
CA-2016-162138,4/23/2016,4/27/2016,"Standard Class",West,92345,GK-14620,351.51,7,0.2,116.74
CA-2017-153339,11/3/2017,11/5/2017,"Second Class",South,37130,DJ-13510,15.99,1,0.2,1
US-2016-141544,8/30/2016,9/1/2016,"First Class",East,19143,PO-18850,1269.87,25,1.8,-316.85
